CID,CRPName
N00002893,   "Frankel, Lois J"
N00029016,   "Franken, Al"
N00036761,   "Franklin, Gwendolyn"
N00036482,   "Franklin, Robert D"
N00006423,   "Franks, Trent"
N00035223,   "Freeman, April"
N00000684,   "Frelinghuysen, Rodney"
N00035741,   "Frese, Michael"
N00032953,   "Freudenheim, Jack"
N00036802,   "Frey, Mike"
N00036803,   "Fritz, Dennis L"
N00035940,   "Fry, Robert"
N00030490,   "Fudge, Marcia L"
N00034627,   "Fulner, Jim"
N00036570,   "Funiciello, Matt"
N00033281,   "Gabbard, Tulsi"
N00036247,   "Gagnier, Christina"
N00017426,   "Gainer, Glen"
N00033541,   "Gallego, Pete"
N00036097,   "Gallego, Ruben"
N00027160,   "Gammill, Powell"
N00036583,   "Gandino-Saadein, Justin J"
N00030856,   "Garamendi, John"
N00029908,   "Garcia, Joe"
N00035800,   "Garcia, Marilinda"
N00036737,   "Garcia, Raul"
N00030780,   "Gardner, Cory"
N00036353,   "Garrett, Janet"
N00000743,   "Garrett, Scott"
N00035457,   "Garrison, Jennifer"
N00035730,   "Gatton, Mark A"
N00036398,   "Gaughan, Walter Lawrence"
N00036058,   "Gauthier, Edmund Louis"
N00036372,   "Geddings, Harold III"
N00025025,   "Gerlach, Jim"
N00036557,   "Gerrard, Roger"
N00034977,   "Gesty, Scott"
N00026251,   "Gianoutsos, Ted"
N00031128,   "Gibbs, Bob"
N00031998,   "Gibson, Chris"
N00034967,   "Gibson, Mark"
N00036064,   "Gillespie, Ed"
N00027658,   "Gillibrand, Kirsten"
N00024760,   "Gingrey, Phil"
N00034065,   "Gluck, George"
N00036806,   "Gnadt, Loel"
N00036841,   "Godfrey, Sean"
N00026148,   "Gohmert, Louis B Jr"
N00036560,   "Goikhman, Dorit"
N00036741,   "Goldsmith, Gardner"
N00009154,   "Goodlatte, Bob"
N00036273,   "Goodrich, Bob"
N00036342,   "Goossen, David"
N00035707,   "Gorell, Jeff"
N00036612,   "Gorman, Jeff"
N00030771,   "Gosar, Paul"
N00036210,   "Gottshall, Curt"
N00036488,   "Gouge, Casey"
N00030880,   "Gowdy, Trey"
N00013685,   "Graeser, Ron"
N00035688,   "Graham, Gwen"
N00009975,   "Graham, Lindsey"
N00008799,   "Granger, Kay"
N00035023,   "Grant, Clay"
N00001758,   "Grassley, Chuck"
N00036135,   "Graves, Garret"
N00013323,   "Graves, Sam"
N00030788,   "Graves, Tom"
N00028418,   "Grayson, Alan"
N00029204,   "Grayson, Richard"
N00026686,   "Green, Al"
N00005870,   "Green, Gene"
N00031203,   "Greenberg, Mark"
N00009743,   "Greene, Mark"
N00036628,   "Griffin, Calvin"
N00031297,   "Griffin, Tim"
N00032029,   "Griffith, Morgan"
N00025284,   "Grijalva, Raul M"
N00035486,   "Grimes, Alison"
N00031401,   "Grimm, Michael"
N00029400,   "Grisham, Michelle Lujan"
N00036409,   "Grothman, Glenn S"
N00036664,   "Gruett, Ron"
N00036751,   "Guerriero, Jeff"
N00036655,   "Guillot, BJ"
N00030801,   "Guinta, Frank"
N00036850,   "Gurney, Barry"
N00029675,   "Guthrie, Brett"
N00004874,   "Gutierrez, Luis V"
N00036146,   "Haddox, Steven"
N00029617,   "Hagan, Kay R"
N00031390,   "Hagedorn, Jim"
N00006806,   "Hahn, Janice"
N00035197,   "Hall, Heidi"
N00025740,   "Hall, Jim"
N00005645,   "Hall, Ralph"
N00035395,   "Halter, Irving Jr"
N00036228,   "Hamilton, Ken"
N00035986,   "Hamilton, Shawn Michael"
N00036651,   "Hammer, Will"
N00036842,   "Hammons, Bill"
N00036642,   "Hampton, Terry"
N00025881,   "Hanabusa, Colleen"
N00030197,   "Hanna, Richard"
N00025713,   "Hansen, Janine"
N00036198,   "Hansen, Sharon"
N00036539,   "Hardwick, Alan"
N00036070,   "Hardy, Charles E"
N00035628,   "Hardy, Cresent"
N00004207,   "Harkin, Tom"
N00032364,   "Harlow, David"
N00036818,   "Harmati, Louis"
N00029632,   "Harper, Gregg"
N00029147,   "Harris, Andy"
N00036613,   "Harris, Mark L"
N00036586,   "Harrold, Marc"
N00035631,   "Hart, Bob"
N00031005,   "Hartzler, Vicky"
N00013771,   "Hartzok, Alanna K"
N00036811,   "Hass, Erwin"
N00002884,   "Hastings, Alcee L"
N00009157,   "Hastings, Doc"
N00009869,   "Hatch, Orrin G"
N00018217,   "Hatchett, Charles"
N00025670,   "Haugh, Sean"
N00036805,   "Hawes, Leigh M"
N00035985,   "Haynes, Nick"
N00005459,   "Hays, Patrick Henry"
N00031124,   "Hayworth, Nan"
N00034132,   "Headrick, Mary Margaret"
N00031557,   "Heck, Dennis"
N00031244,   "Heck, Joe"
N00034717,   "Hedge, Bill"
N00028451,   "Hedrick, Steven"
N00029835,   "Heinrich, Martin"
N00033782,   "Heitkamp, Heidi"
N00034324,   "Heitzman, Susan Hall"
N00027522,   "Heller, Dean"
N00024922,   "Hensarling, Jeb"
N00031931,   "Herr, Brian"
N00031559,   "Herrera Beutler, Jaime"
N00032243,   "Hice, Jody B"
N00027060,   "Higgins, Brian M"
N00036833,   "Hildebrandt, Elaine B"
N00035030,   "Hildebrandt, Ken"
N00035792,   "Hill, French"
N00032983,   "Hill, Sid"
N00036312,   "Hill, Tom"
N00011129,   "Hill, Wayne L"
N00029070,   "Himes, Jim"
N00006008,   "Hinojosa, Ruben"
N00036494,   "Hinton, James"
N00035312,   "Hinz, Janet"
N00028139,   "Hirono, Mazie K"
N00031688,   "Hoeven, John"
N00034293,   "Holcomb, David Christopher"
N00036798,   "Holder, Bryan Jack"
N00033399,   "Holding, George"
N00036048,   "Hollis, Paul"
N00005437,   "Holloway, Clyde C"
N00036538,   "Holmes, Jeff"
N00000860,   "Holt, Rush"
N00012611,   "Honda, Mike"
N00025924,   "Horning, Andy"
N00033638,   "Horsford, Steven"
N00036178,   "Houghton, Tom"
N00036486,   "Howie, Gordon"
N00001821,   "Hoyer, Steny H"
N00035897,   "Hoyt, Nancy"
N00036783,   "Hudok, Paul"
N00033630,   "Hudson, Richard"
N00027649,   "Huelskamp, Tim"
N00033030,   "Huffman, Jared"
N00035920,   "Hughes, Bill Jr"
N00030673,   "Huizenga, Bill"
N00031104,   "Hultgren, Randy"
N00029258,   "Hunter, Duncan D"
N00031417,   "Hurd, Will"
N00031265,   "Hurt, Robert"
N00036431,   "Hutto, Brad"
N00005963,   "Idrogo, Michael"
N00035756,   "Ince, Cecil Anthony"
N00005582,   "Inhofe, James M"
N00036288,   "Irvin, Nate"
N00002593,   "Isakson, Johnny"
N00013345,   "Israel, Steve"
N00007017,   "Issa, Darrell"
N00031603,   "Izzo, Rose"
N00005818,   "Jackson Lee, Sheila"
N00036559,   "Jackson, Eli ""Sarge"""
N00036366,   "James, Armond"
N00036435,   "James, Joshua"
N00036786,   "Jamias, Mapu S"
N00035573,   "Janay, Laura"
N00033640,   "Jeffries, Hakeem"
N00035531,   "Jenkins, Evan"
N00035804,   "Jenkins, Jim"
N00029077,   "Jenkins, Lynn"
N00035613,   "Jennings, Vincent"
N00035425,   "Jensen, Elisabeth"
N00029444,   "Johanns, Mike"
N00032088,   "Johnson, Bill"
N00036468,   "Johnson, Connie"
N00036576,   "Johnson, Dennis B"
N00008122,   "Johnson, Eddie Bernice"
N00027848,   "Johnson, Hank"
N00036709,   "Johnson, Heather"
N00035128,   "Johnson, James L Jr"
N00036081,   "Johnson, Johnny"
N00035725,   "Johnson, Karen M"
N00032546,   "Johnson, Ron"
N00008028,   "Johnson, Sam"
N00036859,   "Johnson, Sam"
N00010084,   "Johnson, Tim"
N00034817,   "Joiner, Gregory"
N00035717,   "Jolly, David"
N00036031,   "Jones, Davy"
N00036810,   "Jones, Harold H"
N00036457,   "Jones, Jeff"
N00036785,   "Jones, Paul"
N00035974,   "Jones, Russ"
N00002299,   "Jones, Walter B Jr"
N00027894,   "Jordan, Jim"
N00035007,   "Joyce, David P"
N00033182,   "Kabat, Ronald P"
N00035586,   "Kaifesh, Lawrence Joseph"
N00033177,   "Kaine, Tim"
N00003522,   "Kaptur, Marcy"
N00035934,   "Katko, John"
N00033516,   "Kaufman, Joe"
N00031933,   "Keating, Bill"
N00036659,   "Keller, Craig"
N00031647,   "Kelly, Mike"
N00035215,   "Kelly, Robin"
N00035976,   "Kelsey, Bill"
N00034044,   "Kennedy, Joe III"
N00036864,   "Kent, Gaylon"
